"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"163","Scl","0163",1,106,0,"00 : 59 : 46.55","-33 : 34 : 29.1",-0.72642785129569,0.260821276197511
"164","Scl","0164",1,112,0,"00 : 59 : 43.86","-33 : 35 : 09.8",-0.729387638818864,0.260625653877183
"165","Scl","0165",1,98,0,"00 : 59 : 42.30","-33 : 35 : 47.3",-0.732114715775105,0.260512207475804
"166","Scl","0166",1,103,0,"00 : 59 : 43.21","-33 : 37 : 01.7",-0.737525236456287,0.260578384543275
"167","Scl","0167",1,108,0,"00 : 59 : 42.70","-33 : 38 : 59.0",-0.74605553317541,0.26054129629667
"168","Scl","0168",1,126,0,"00 : 59 : 53.01","-33 : 35 : 14.1",-0.729700343643179,0.261291060654506
"169","Scl","0169",1,115,0,"00 : 59 : 49.57","-33 : 35 : 36.0",-0.731292956585624,0.261040896795054
"170","Scl","0170",1,116,0,"00 : 59 : 50.17","-33 : 36 : 43.3",-0.736187150696425,0.261084530026353
"171","Scl","0171",1,98,0,"00 : 59 : 46.39","-33 : 37 : 22.0",-0.739001494115266,0.260809640669164
"172","Scl","0172",1,112,0,"00 : 59 : 50.42","-33 : 38 : 04.2",-0.742070364716689,0.261102710539395
"173","Scl","0173",1,100,0,"00 : 59 : 44.89","-33 : 38 : 14.7",-0.742833946264437,0.260700557590915
"174","Scl","0174",1,105,0,"00 : 59 : 44.60","-33 : 38 : 35.1",-0.744317476128632,0.260679468195786
"175","Scl","0175",1,115,0,"00 : 59 : 50.28","-33 : 45 : 41.8",-0.775347975788048,0.261092529452092
"176","Scl","0176",1,108,0,"00 : 59 : 53.20","-33 : 45 : 25.2",-0.774140789722085,0.261304877844418
"177","Scl","0177",1,103.7,1,"00 : 59 : 46.81","-33 : 45 : 01.4",-0.772410004880524,0.260840183931074
"178","Scl","0178",1,99.8,1.1,"00 : 59 : 49.64","-33 : 43 : 31.2",-0.765850475775112,0.261045987338705
"179","Scl","0179",1,107,0,"00 : 59 : 50.70","-33 : 43 : 06.3",-0.764039696676168,0.261123072714002
"180","Scl","0180",1,123,0,"00 : 59 : 47.42","-33 : 40 : 23.1",-0.752171457762606,0.260884544382896
"181","Scl","0181",1,96.7,1.7,"00 : 59 : 42.94","-33 : 45 : 58.2",-0.776540617443577,0.26055874958919
"182","Scl","0182",1,120.2,0.8,"00 : 59 : 41.95","-33 : 45 : 17.2",-0.773559013304753,0.260486754757545
"183","Scl","0183",1,113,0,"00 : 59 : 41.40","-33 : 43 : 43.8",-0.766766773632409,0.260446757628854
"184","Scl","0184",1,105,0,"00 : 59 : 44.40","-33 : 43 : 00.6",-0.763625180978819,0.260664923785353
"185","Scl","0185",1,118,0,"00 : 59 : 46.50","-33 : 42 : 36.1",-0.761843490700742,0.260817640094903
"186","Scl","0186",1,117,0,"00 : 59 : 43.49","-33 : 41 : 45.2",-0.75814193824547,0.260598746717882
"187","Scl","0187",1,115,0,"00 : 59 : 40.43","-33 : 40 : 24.7",-0.752287813046073,0.260376217238252
"188","Scl","0188",1,116,0,"00 : 59 : 46.32","-33 : 39 : 20.2",-0.747597240681338,0.260804550125513
"189","Scl","0189",0.996,93,0,"00 : 59 : 58.43","-33 : 35 : 17.6",-0.729954870825762,0.261685214177248
"190","Scl","0190",1,102,0,"00 : 59 : 57.28","-33 : 35 : 50.4",-0.732340154136821,0.261601583817257
"191","Scl","0191",0.999,99,0,"01 : 00 : 00.42","-33 : 36 : 20.5",-0.73452908790703,0.261829931061059
